Division,DivisionID,Perc_65Older,Perc_BornOverseas,Perc_RecentMigrants,Perc_ATSI,Perc_CALD,Perc_EducYear12,Perc_EducHigher,Perc_Secular,Decile_SEIFA,ARIA,Perc_YESMarriage,Perc_YESVoice
Adelaide,401/2021,0.147,0.35,0.176,0.012,0.346,0.824,0.493,0.401242783,6.028985507,0,0.701016306,0.504110183
Aston,201/2021,0.153,0.302,0.088,0.005,0.252,0.797,0.493,0.415887821,6.416893733,0,0.619748034,0.425349588
Ballarat,202/2021,0.172,0.105,0.03,0.013,0.053,0.686,0.451,0.485986219,4.472934473,0.930588,0.705379604,0.421472393
Banks,101/2021,0.157,0.389,0.128,0.008,0.452,0.834,0.478,0.274394848,6.637640449,0,0.448815994,0.388377345
Barker,402/2021,0.199,0.109,0.032,0.025,0.057,0.579,0.349,0.475947509,3.179104478,1.658608,0.522569935,0.216236643
Barton,102/2021,0.14,0.492,0.192,0.007,0.591,0.839,0.48,0.29347126,6.665853659,0,0.436390758,0.440228684
Bass,601/2021,0.191,0.123,0.041,0.034,0.057,0.604,0.398,0.492157451,3.528571429,1.342775,0.61690975,0.39016042
Bean,801/2021,0.144,0.221,0.066,0.021,0.168,0.783,0.538,0.420365638,7.727034121,0.145833,0.740713181,0.564082982
Bendigo,203/2021,0.184,0.09,0.027,0.015,0.045,0.663,0.449,0.489135066,4.305949008,1,0.68728865,0.406733074
Bennelong,103/2021,0.14,0.476,0.193,0.004,0.492,0.886,0.577,0.375015035,8.673076923,0,0.498421505,0.488582207
Berowra,104/2021,0.167,0.324,0.08,0.005,0.26,0.871,0.576,0.348388619,9.248062016,0.109982,0.545598829,0.476547304
Blair,301/2021,0.128,0.15,0.053,0.044,0.069,0.679,0.406,0.429101649,3.520607375,0.200666,0.600226385,0.30423365
Blaxland,105/2021,0.118,0.495,0.181,0.006,0.684,0.761,0.354,0.152369742,3.010362694,0,0.260506562,0.386024583
Bonner,302/2021,0.143,0.276,0.112,0.018,0.183,0.84,0.512,0.388088382,6.978666667,0.026573,0.620480781,0.417817194
Boothby,403/2021,0.201,0.243,0.098,0.009,0.166,0.828,0.516,0.473375241,6.472727273,0,0.685142511,0.487469114
Bowman,303/2021,0.176,0.226,0.067,0.023,0.066,0.773,0.471,0.424941277,5.358490566,0.160208,0.621303217,0.285475979
Braddon,602/2021,0.207,0.086,0.016,0.073,0.024,0.486,0.367,0.509456351,2.662295082,2.023673,0.540277204,0.276171744
Bradfield,106/2021,0.166,0.427,0.157,0.002,0.339,0.91,0.62,0.407247816,9.459183673,0,0.605825659,0.521193441
Brand,501/2021,0.114,0.323,0.145,0.024,0.104,0.585,0.424,0.48905793,4.029411765,0.001233,0.670932665,0.309848162
Brisbane,304/2021,0.097,0.283,0.153,0.01,0.182,0.852,0.587,0.462279338,8.681818182,0,0.795116518,0.574535941
Bruce,204/2021,0.143,0.532,0.209,0.004,0.575,0.742,0.378,0.252440842,4.294964029,0,0.469132125,0.431267968
Burt,502/2021,0.109,0.403,0.19,0.024,0.271,0.68,0.441,0.361103494,3.670050761,0,0.569717973,0.336213954
Calare,107/2021,0.181,0.083,0.021,0.063,0.038,0.549,0.41,0.324111279,4.251131222,1.424693,0.601880494,0.28239216
Calwell,205/2021,0.097,0.403,0.164,0.007,0.531,0.735,0.373,0.140496175,3.467153285,0,0.431646552,0.411930777
Canberra,802/2021,0.142,0.283,0.124,0.012,0.217,0.876,0.609,0.506614802,9.078313253,0.021739,0.740713181,0.711258418
Canning,503/2021,0.19,0.257,0.087,0.02,0.068,0.611,0.411,0.472028059,4.103746398,0.263382,0.602273151,0.233644748
Capricornia,305/2021,0.14,0.095,0.041,0.053,0.047,0.639,0.385,0.363597677,3.707808564,1.586317,0.540631687,0.197032773
Casey,206/2021,0.154,0.163,0.032,0.009,0.072,0.699,0.488,0.539404487,5.967581047,0.205101,0.680555713,0.430599741
Chifley,108/2021,0.108,0.411,0.143,0.04,0.425,0.707,0.392,0.17352014,3.961187215,0,0.413092381,0.410470109
Chisholm,207/2021,0.168,0.44,0.198,0.002,0.433,0.892,0.546,0.394734693,7.935251799,0,0.61585214,0.507991809
Clark,603/2021,0.173,0.18,0.075,0.03,0.121,0.748,0.481,0.503767338,5.325581395,1,0.737823172,0.590873693
Cook,109/2021,0.184,0.221,0.048,0.01,0.213,0.814,0.507,0.300575443,8.172011662,0.006557,0.550406099,0.36911821
Cooper,208/2021,0.135,0.326,0.126,0.008,0.358,0.837,0.516,0.458052585,6.855855856,0,0.711584431,0.665993205
Corangamite,209/2021,0.191,0.127,0.033,0.008,0.053,0.752,0.508,0.479286687,6.180428135,0.752947,0.715614127,0.490647142
Corio,210/2021,0.17,0.178,0.056,0.011,0.132,0.695,0.448,0.427632157,4.806366048,0.025018,0.677215395,0.461889251
Cowan,504/2021,0.12,0.38,0.14,0.016,0.268,0.725,0.425,0.321633727,4.170792079,0,0.588208791,0.370767821
Cowper,110/2021,0.242,0.116,0.027,0.061,0.044,0.564,0.415,0.403548662,3.476958525,1.534299,0.600073061,0.336343159
Cunningham,111/2021,0.167,0.224,0.068,0.022,0.179,0.776,0.493,0.395432841,6.182058047,0.097952,0.656696785,0.522658146
Curtin,505/2021,0.164,0.332,0.142,0.006,0.167,0.874,0.607,0.452941516,8.892561983,0,0.722175803,0.518349421
Dawson,306/2021,0.142,0.135,0.057,0.055,0.066,0.644,0.407,0.370458345,3.973429952,1.569022,0.551466203,0.196508012
Deakin,211/2021,0.165,0.272,0.102,0.004,0.223,0.796,0.525,0.445897912,6.929133858,0,0.656868434,0.49879748
Dickson,307/2021,0.127,0.188,0.061,0.02,0.072,0.792,0.501,0.43067976,6.201612903,0.078388,0.651561411,0.357282291
Dobell,112/2021,0.189,0.131,0.025,0.043,0.053,0.616,0.416,0.391864653,4.335120643,0.1113,0.65745838,0.354650133
Dunkley,212/2021,0.158,0.217,0.055,0.009,0.109,0.687,0.463,0.506632408,5.24929972,0,0.719726037,0.450276908
Durack,506/2021,0.101,0.163,0.076,0.167,0.114,0.508,0.386,0.425907816,4.012891344,3.048204,0.591642582,0.284696662
Eden-Monaro,113/2021,0.183,0.135,0.031,0.032,0.069,0.643,0.456,0.409174766,5.600456621,1.320945,0.649162214,0.395715603
Fadden,308/2021,0.161,0.299,0.111,0.017,0.115,0.727,0.445,0.430234769,5.133016627,0.040377,0.61814346,0.268389756
Fairfax,309/2021,0.189,0.198,0.064,0.02,0.053,0.738,0.488,0.471233168,5.516949153,0.222688,0.643242708,0.349041035
Farrer,114/2021,0.198,0.099,0.036,0.042,0.072,0.556,0.376,0.331274983,3.823157895,1.594435,0.552063742,0.24944777
Fenner,803/2021,0.092,0.291,0.128,0.018,0.272,0.813,0.569,0.400892163,7.870967742,0.025,0.740071362,0.577163236
Fisher,310/2021,0.209,0.193,0.06,0.019,0.048,0.729,0.462,0.462595464,5.248677249,0.284546,0.628251576,0.319042983
Flinders,213/2021,0.246,0.171,0.03,0.009,0.052,0.664,0.457,0.490572312,5.516129032,0.327674,0.699946703,0.431206636
Flynn,311/2021,0.132,0.113,0.048,0.053,0.048,0.614,0.378,0.398362712,3.118764846,1.536588,0.514755353,0.165498545
Forde,312/2021,0.125,0.259,0.09,0.028,0.109,0.7,0.419,0.432320463,4.101580135,0.016073,0.605466835,0.287105242
Forrest,507/2021,0.165,0.194,0.067,0.022,0.066,0.579,0.432,0.494787942,4.291005291,1.061514,0.637996465,0.307751264
Fowler,115/2021,0.134,0.53,0.15,0.008,0.686,0.772,0.309,0.15831907,2.530503979,0,0.363400279,0.402411819
Franklin,604/2021,0.195,0.127,0.026,0.046,0.046,0.647,0.465,0.512129693,5.135338346,1.267454,0.68768058,0.513329099
Fraser,214/2021,0.137,0.485,0.164,0.004,0.595,0.794,0.361,0.32377486,4.244897959,0,0.561203852,0.573635525
Fremantle,508/2021,0.134,0.325,0.127,0.015,0.191,0.752,0.501,0.458232903,6.319088319,0.001612,0.700864799,0.47594669
Gellibrand,215/2021,0.111,0.347,0.143,0.005,0.329,0.799,0.521,0.32023223,6.803030303,0,0.680990012,0.538408116
Gilmore,116/2021,0.262,0.131,0.017,0.05,0.04,0.562,0.438,0.415981141,4.444705882,1.038169,0.619822794,0.383515702
Gippsland,216/2021,0.214,0.113,0.023,0.02,0.049,0.549,0.402,0.475313721,3.359173127,1.614208,0.601555707,0.272175445
Goldstein,217/2021,0.175,0.294,0.102,0.002,0.199,0.89,0.582,0.42943465,9.226361032,0,0.762958343,0.56900207
Gorton,218/2021,0.089,0.336,0.119,0.009,0.372,0.692,0.417,0.185637282,4.747572816,0.01078,0.533434667,0.39353729
Grayndler,117/2021,0.119,0.331,0.113,0.011,0.261,0.844,0.596,0.512986884,9.104815864,0,0.798891278,0.75010632
Greenway,118/2021,0.098,0.409,0.154,0.015,0.41,0.777,0.502,0.189216144,7.180751174,0,0.463632372,0.436704759
Grey,404/2021,0.201,0.099,0.019,0.064,0.048,0.535,0.342,0.473819868,2.929149798,2.361426,0.533052076,0.2053091
Griffith,313/2021,0.099,0.274,0.135,0.012,0.183,0.855,0.586,0.458682689,8.451282051,0,0.765987841,0.575595891
Groom,314/2021,0.168,0.119,0.054,0.04,0.068,0.729,0.436,0.322346827,4.297029703,1.006133,0.491637457,0.247958275
Hasluck,509/2021,0.152,0.308,0.113,0.028,0.157,0.644,0.441,0.429869691,5.4,0.177332,0.624120131,0.346142529
Hawke,219/2021,0.13,0.294,0.064,0.015,0.239,0.636,0.477,0.362750848,4.094488189,0.471124,0.630912515,0.362377122
Herbert,315/2021,0.116,0.136,0.055,0.085,0.072,0.712,0.438,0.40775758,4.009756098,2.10197,0.628469909,0.247484068
Higgins,220/2021,0.143,0.327,0.152,0.002,0.265,0.886,0.617,0.44296475,9.342465753,0,0.783359796,0.616443458
Hindmarsh,405/2021,0.192,0.253,0.084,0.017,0.229,0.767,0.438,0.396338071,4.968085106,0,0.623169792,0.390057258
Hinkler,316/2021,0.253,0.141,0.032,0.041,0.043,0.628,0.373,0.408539584,2.375690608,1.017849,0.506864347,0.194866371
Holt,221/2021,0.084,0.379,0.169,0.006,0.354,0.698,0.438,0.29021922,4.241293532,0.046889,0.506837092,0.439926182
Hotham,222/2021,0.16,0.493,0.211,0.002,0.518,0.879,0.484,0.282616698,4.918269231,0,0.596025338,0.501397938
Hughes,119/2021,0.142,0.201,0.044,0.012,0.164,0.8,0.535,0.315435795,8.184210526,0.098174,0.584071904,0.419877157
Hume,120/2021,0.152,0.123,0.021,0.031,0.063,0.608,0.451,0.313177682,5.581018519,0.77093,0.585734681,0.265550164
Hunter,121/2021,0.178,0.09,0.02,0.059,0.035,0.522,0.416,0.395384704,3.715277778,0.470722,0.643773133,0.288515931
Indi,223/2021,0.209,0.097,0.02,0.016,0.045,0.596,0.437,0.451130124,4.313432836,1.175561,0.630873647,0.327835212
Isaacs,224/2021,0.157,0.308,0.1,0.004,0.261,0.807,0.494,0.398471276,7.102493075,0,0.653284587,0.51458912
Jagajaga,225/2021,0.162,0.223,0.069,0.006,0.2,0.834,0.543,0.448212049,7.847368421,0,0.735146977,0.552548526
Kennedy,317/2021,0.163,0.121,0.036,0.137,0.073,0.599,0.362,0.359581568,3.150943396,2.437617,0.467410916,0.197534953
Kingsford Smith,122/2021,0.128,0.425,0.189,0.017,0.364,0.844,0.522,0.343956292,8.249394673,0,0.641144783,0.554920582
Kingston,406/2021,0.164,0.226,0.062,0.015,0.08,0.691,0.446,0.552265133,4.080519481,0,0.681048247,0.363420507
Kooyong,226/2021,0.16,0.318,0.127,0.002,0.282,0.913,0.611,0.453383449,9.489528796,0,0.736692114,0.606725682
La Trobe,227/2021,0.111,0.257,0.093,0.006,0.187,0.705,0.479,0.39104497,5.742268041,0.16139,0.674505909,0.392919881
Lalor,228/2021,0.081,0.405,0.219,0.009,0.403,0.706,0.473,0.233018582,4.735483871,0.035858,0.567831945,0.475166187
Leichhardt,318/2021,0.124,0.207,0.076,0.168,0.186,0.659,0.44,0.409486391,4.133651551,2.521357,0.633658899,0.351125938
Lilley,319/2021,0.148,0.234,0.103,0.022,0.149,0.813,0.511,0.401057205,6.599455041,0,0.676625837,0.475242601
Lindsay,123/2021,0.119,0.211,0.055,0.042,0.159,0.627,0.413,0.301701881,4.799054374,0.007042,0.561671588,0.312731535
Lingiari,701/2021,0.065,0.124,0.056,0.402,0.357,0.377,0.329,0.359037718,3.94984326,3.266447,0.544782957,0.450240189
Longman,320/2021,0.169,0.169,0.049,0.037,0.053,0.651,0.4,0.461195462,3.525179856,0.164294,0.60426194,0.251004128
Lyne,124/2021,0.272,0.087,0.011,0.055,0.023,0.537,0.402,0.368701024,3.326086957,0.961581,0.553127858,0.26104188
Lyons,605/2021,0.199,0.084,0.011,0.048,0.021,0.482,0.359,0.484659538,2.894736842,1.611759,0.586963632,0.326307022
Macarthur,125/2021,0.109,0.278,0.074,0.036,0.264,0.665,0.412,0.225025669,4.914110429,0,0.520521447,0.351676258
Mackellar,126/2021,0.183,0.266,0.075,0.006,0.143,0.819,0.544,0.417531711,8.941828255,0.006587,0.680082897,0.510316966
Macnamara,229/2021,0.121,0.355,0.177,0.003,0.249,0.825,0.61,0.459971442,8.974683544,0,0.819734764,0.66783876
Macquarie,127/2021,0.17,0.148,0.02,0.03,0.06,0.649,0.514,0.413066813,6.215846995,0.328939,0.638713932,0.438183249
Makin,407/2021,0.164,0.28,0.09,0.014,0.201,0.731,0.434,0.413226517,4.12755102,0,0.604373315,0.323959325
Mallee,230/2021,0.218,0.088,0.03,0.026,0.064,0.568,0.347,0.410703953,3.258403361,1.848031,0.542789628,0.211929375
Maranoa,321/2021,0.192,0.082,0.026,0.06,0.034,0.62,0.347,0.316750538,3.191536748,2.2136,0.439139423,0.157473124
Maribyrnong,231/2021,0.14,0.316,0.112,0.004,0.339,0.842,0.513,0.329226637,7.080229226,0,0.598744177,0.519426611
Mayo,408/2021,0.213,0.169,0.031,0.01,0.04,0.708,0.476,0.546435664,5.440758294,0.739635,0.647356898,0.404514011
McEwen,232/2021,0.121,0.148,0.043,0.01,0.096,0.695,0.483,0.421716887,6.373626374,0.472004,0.653923273,0.406961559
McMahon,128/2021,0.127,0.432,0.137,0.012,0.529,0.721,0.366,0.138941867,3.607427056,0,0.350679196,0.344062411
McPherson,322/2021,0.174,0.247,0.081,0.017,0.102,0.782,0.476,0.44855386,6.161643836,0.012142,0.654798837,0.351878577
Melbourne,233/2021,0.078,0.456,0.294,0.004,0.39,0.851,0.578,0.543032746,8.452272727,0,0.836923172,0.788926149
Menzies,234/2021,0.19,0.348,0.102,0.002,0.352,0.882,0.531,0.399143791,7.94,0.003293,0.569541945,0.456273226
Mitchell,129/2021,0.135,0.359,0.105,0.005,0.333,0.868,0.568,0.269212378,9.348780488,0,0.491021874,0.413575468
